type,name,full_name,isin,haircut,value
mf,IDLFG1,IDBI LIQUID FUND-DIRECT PLAN - GROWTH-GROWTH,INF397L01AH3,10,90
mf,IDLFM1D,IDBI LIQUID FUND-DIRECT PLAN - MONTHLY IDCW PAYOUT,INF397L01AK7,10,90
mf,IDLFM1R,IDBI LIQUID FUND-DIRECT PLAN - MONTHLY IDCW REINVESTMENT,INF397L01AJ9,10,90
mf,IGIF2027DG,IDFC CRISIL GILT 2027 INDEX FUND DIRECT PLAN-GROWTH,INF194KB1BP3,10,90
mf,IGIF2028DG,IDFC CRISIL GILT 2028 INDEX FUND DIRECT PLAN-GROWTH,INF194KB1BV1,10,90
mf,IMFCOD1GR,INVESCO INDIA MONEY MARKET FUND - DIRECT PLAN GROWTH,INF205K01RY9,10,90
mf,IMFLFSDDR,INVESCO INDIA LIQUID FUND-DAILY IDCW REINVESTMENT,INF205K01HN3,10,90
mf,IMFONDRDRD,INVESCO INDIA OVERNIGHT FUND-REGULAR -GROWTH,INF205KA1114,10,90
mf,IMFONFRGDR,INVESCO INDIA OVERNIGHT FUND-DIRECT-GROWTH,INF205KA1163,10,90
mf,IP54P,ICICI PRUDENTIAL GILT FUND - IDCW PAYOUT,INF109K01JQ6,10,90
mf,IPRU1564,ICICI PRUDENTIAL LIQUID FUND - DAILY IDCW REINVESTMENT,INF109K01VP3,10,90
mf,IPRU1565,ICICI PRUDENTIAL LIQUID FUND - GROWTH,INF109K01VQ1,10,90
mf,IPRU1567,ICICI PRUDENTIAL LIQUID FUND - WEEKLY IDCW REINVESTMENT,INF109K01VS7,10,90
mf,IPRU1571,ICICI PRUDENTIAL MONEY MARKET FUND - GROWTH,INF109K01TX1,10,90
mf,IPRU1573,ICICI PRUDENTIAL MONEY MARKET FUND - WEEKLY IDCW REINVESTMENT,INF109K01TZ6,10,90
mf,IPRU1780,ICICI PRUDENTIAL LIQUID FUND - IDCW PAYOUT,INF109K01VT5,10,90
mf,IPRU1780P,ICICI PRUDENTIAL LIQUID FUND - IDCW PAYOUT,INF109K01VU3,10,90
mf,IPRU3223,ICICI PRUDENTIAL OVERNIGHT FUND GROWTH,INF109KC17E3,10,90
mf,IPRU53,ICICI PRUDENTIAL GILT FUND - GROWTH,INF109K01JR4,10,90
mf,IPRU54,ICICI PRUDENTIAL GILT FUND - IDCW PAYOUT,INF109K01JP8,10,90
mf,IPRU8015,ICICI PRUDENTIAL GILT FUND - DIRECT PLAN - GROWTH,INF109K018C5,10,90
mf,IPRU8016,ICICI PRUDENTIAL GILT FUND - DIRECT PLAN - IDCW PAYOUT,INF109K017C7,10,90
mf,IPRU8016P,ICICI PRUDENTIAL GILT FUND - DIRECT PLAN - IDCW PAYOUT,INF109K016C9,10,90
mf,IPRU9425,ICICI PRUDENTIAL OVERNIGHT FUND DIRECT PLAN GROWTH,INF109KC11G1,10,90
mf,JAIGR,EDELWEISS MONEY MARKET FUND - INSTITUTIONAL PLAN - GROWTH OPTION,INF843K01377,10,90
mf,JARDI,EDELWEISS MONEY MARKET FUND - REGULAR PLAN - IDCW PAYOUT,INF843K01351,10,90
mf,JARDI,EDELWEISS MONEY MARKET FUND - REGULAR PLAN - IDCW REINVESTMENT,INF843K01369,10,90
mf,JARGR,EDELWEISS MONEY MARKET FUND - REGULAR PLAN - GROWTH OPTION,INF843K01344,10,90
mf,JMLFDG,JM LIQUID FUND (DIRECT) - GROWTH OPTION,INF192K01CM6,10,90
